person_id,w_I,w_E,w_U,aI_pos,aI_neg,a_E,a_U,neg_log_lik
13,1.0419364378012335,0.6029037414592211,0.8269335688748118,0.0,0.0,0.0,0.0,8.386400957499363
18,2.186585555088721e-05,1.4999874803885889,1.499982006218429,0.0,0.0,0.0,0.0,4.365826167719093
0,1.383627968946924,1.2533005307610594,0.09723964213168529,0.0,0.0,0.0,0.0,5.6053538043054365
40,0.8938849237016593,0.9736948587416074,0.6521484806240986,0.0,0.0,0.0,0.0,9.010938992894875
8,1.4988699200838278e-05,1.4999753874176456,6.814631511118288e-05,0.0,0.0,0.0,0.0,7.493567721289423
21,0.2163003009993798,0.9806365161993407,1.2844841645277945,0.0,0.0,0.0,0.0,7.071449070917879
47,5.68707866438882e-05,7.303390077781579e-05,1.4999311378514826,0.0,0.0,0.0,0.0,5.445194525540797
41,1.882309628798273e-05,1.4999949670135289,2.5833594340115878e-05,0.0,0.0,0.0,0.0,5.731199701344592
5,2.6045485726819405e-06,2.7985854363005255e-06,4.332041233225809e-06,0.0,0.0,0.0,0.0,9.918658715795447
6,0.7664596287106153,0.7476363576268809,0.748931662671465,0.0,0.0,0.0,0.0,9.770806942043423
27,3.2692743369002506e-06,6.471610204789641e-06,1.4999736720012897,0.0,0.0,0.0,0.0,6.691630212559303
24,1.4998509836337077,1.499925977432738,1.499902423042211,0.0,0.0,0.0,0.0,3.639434252248175
31,1.499899920529553,1.7813553600821018e-05,1.7370602158693654e-05,0.0,0.0,0.0,0.0,6.325030524861565
15,1.499901264971564,1.4999723739293933,4.738375077899852e-05,0.0,0.0,0.0,0.0,5.658385947276395
26,8.269016393175285e-06,2.1742748685751622e-05,1.4998334476483641,0.0,0.0,0.0,0.0,8.280268610852433
7,0.6600210962859303,0.6969554953347649,0.2848128674272567,0.0,0.0,0.0,0.0,5.6228398595185265
20,1.499992083957125,2.9677538044449225e-05,7.709482240877746e-06,0.0,0.0,0.0,0.0,5.20717702368242
48,0.918695532164731,0.5320725561296947,0.5353318422560738,0.0,0.0,0.0,0.0,6.1154650422875365
23,1.4999782246571893,1.4999197923801404,1.809153801922592e-05,0.0,0.0,0.0,0.0,8.359100491148714
44,0.6764603376607633,0.7697756909574278,0.7700649260297379,0.0,0.0,0.0,0.0,6.961390435133013
36,1.0061806173105392,0.6330452785967591,0.6981070316127426,0.0,0.0,0.0,0.0,5.569199008876834
43,0.12422650152404428,0.0947299385489707,1.2364619247129927,0.0,0.0,0.0,0.0,6.701511578174711
25,2.6112795781092403e-06,1.0589559419832518e-05,3.167887492454169e-06,0.0,0.0,0.0,0.0,7.325410595075194
37,0.4238396778806066,0.23483077797331708,0.5610529096343138,0.0,0.0,0.0,0.0,10.536902744810332
39,1.499986922091666,1.4999682615131544,1.4999868359221784,0.0,0.0,0.0,0.0,4.7564000019862345
32,1.4999287057652875,1.4998828295210016,1.4999687417426366,0.0,0.0,0.0,0.0,3.521349799183228
