person_id,w_I_mean,w_I_std,w_E_mean,w_E_std,w_U_mean,w_U_std,aI_pos_mean,aI_pos_std,aI_neg_mean,aI_neg_std,a_E_mean,a_E_std,a_U_mean,a_U_std,true_w_I,true_w_E,true_w_U,true_aI_pos,true_aI_neg,true_a_E,true_a_U
0,0.836787992740845,0.27067063858335194,0.6219780395081318,0.24522859482600204,0.6155800814359543,0.2052055085969061,0.7311104910647828,0.1566758163523873,0.5287316643604629,0.1704093297456371,0.4360574360460172,0.16328247628500647,0.5349436027752988,0.16265251044258075,0.4590662118665299,0.3206793391396015,0.7207475784318831,0.1571764008613378,0.1231377833825171,0.0644997311936767,0.176858933297355
1,0.8380166434015485,0.270389826115336,0.627410872757213,0.24634372166824384,0.6169693516264817,0.1995482748624134,0.7313719665330215,0.16244649640090236,0.5255380430825799,0.17126476255677062,0.4355443797973369,0.15951538082390346,0.5251395639762134,0.1651844961989538,0.7045007325853898,0.6663975235683259,0.2494896386689123,0.0599178626779542,0.0942163646915296,0.1891662244842731,0.0832937041104012
2,0.8358136285159656,0.2747266217148581,0.6078669705683857,0.22699800722597038,0.6170837815640975,0.1992100600673184,0.7362287327588933,0.15776561207450648,0.5204217133876057,0.1715387742600875,0.4410224548771793,0.15831671130993408,0.5294890367806043,0.1575378698329618,0.3330930259775364,0.5213154050674433,0.4222713046275606,0.1361043302178151,0.1600439105606393,0.2265991773741255,0.2966167702502965
3,0.8298792079107233,0.2714187266525941,0.6202086258140173,0.24355723321020936,0.6271549367504847,0.2126140898808185,0.7313332853818747,0.15773376491716803,0.5228353262102223,0.1734911189916954,0.43869533759733975,0.16325980134971266,0.5280970488985736,0.16029693444698276,0.864874849254629,0.3458742991849578,0.4255445778613901,0.1569181924600207,0.1719624870513993,0.1296529202779716,0.0813728781239942
4,0.8436099872900811,0.26487560189230663,0.6273034165609288,0.2418776132950836,0.6167008758961636,0.19716404067948812,0.7323883056827533,0.14922651316070681,0.5289781653807961,0.1739147490471886,0.44209778659860033,0.16473398500040173,0.5250781925439795,0.16351875872047394,0.3549159568102475,0.6841112253458206,0.4754247394038896,0.1946255922139257,0.1199039324447522,0.2936287447151465,0.0701345313721566
5,0.8335218444350739,0.27231067046335844,0.6136900541324103,0.2382490950654643,0.6138117710649634,0.21095767059219775,0.730904161341573,0.1581297619150749,0.5213643222243382,0.17711372747699847,0.4356489933279605,0.1608901868990895,0.5304394982187546,0.16251251436497186,0.9273593583880546,0.4752055215814337,0.7145064776228576,0.0739807261672275,0.1277071487639887,0.2278732459063464,0.0998298508637263
6,0.8246629811729874,0.2778469990417283,0.6159595539502754,0.23610312796750457,0.6168458175343008,0.19884925153650795,0.7301517702193312,0.15794258317102597,0.5224040244458591,0.1665862218571662,0.4411120533668976,0.16267909965253968,0.5315362417829022,0.1637279719060986,0.8079945140720133,0.9299904290638497,0.5545987148619511,0.1511106261702443,0.1524322944870638,0.2231827506370572,0.1630864480662274
7,0.8365317985234111,0.2749577796571674,0.6177967968435264,0.2508648017577242,0.613424119510782,0.20103780543936295,0.7332881018389608,0.15544188363118533,0.5205211359080109,0.16476310243077275,0.4417538518779766,0.16736902161818193,0.5248135544632911,0.16133883988782374,0.890219975243077,0.5630188167783399,0.471321421827709,0.2353338568142454,0.1035719493354908,0.0823061999738322,0.1817287566317929
8,0.8359637494321978,0.2772558073804155,0.6087392639081727,0.235954902810436,0.6206149676166235,0.2021336171296515,0.7313815957159226,0.15809218927057805,0.5267345949984338,0.17383509097747213,0.43551526556394127,0.1621909082285788,0.5274114487212708,0.16457864875725942,0.7727947520258491,0.903272554853912,0.51161317684836,0.2469458170148592,0.0798926298084506,0.2310389433404564,0.2108048624261323
9,0.8405174712491983,0.27443460017163274,0.6147284521148131,0.24456623385041432,0.6141508151151586,0.19680202247581458,0.7233259516631716,0.16061290491827745,0.5181765650743428,0.16843568128863212,0.4358370894667129,0.16378123608610856,0.5303662600474939,0.16352163129107014,0.6935792126225998,0.714210380305589,0.2619774556142406,0.100788056331179,0.1986434514714581,0.1261042844898081,0.191940424467327
