nll,w_I,w_E,w_U,tau,noise_s,alpha_I_pos,alpha_I_neg,alpha_E,alpha_U,success,message,n_iter,person_id,true_w_I,true_w_E,true_w_U,true_tau,true_noise_s,true_alpha_I_pos,true_alpha_I_neg,true_alpha_E,true_alpha_U
0.007420035526296732,1.499952308371027,2.1853130265760664e-05,1.4999756111159226,9.999875218277623,0.0534986425873112,0.4164421447616477,0.07674666783665715,0.15847005089296945,0.36431266088979936,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,20,0,0.711541438766307,0.2200086041781335,0.4200234546952954,2.2812375835208796,0.1604706821246018,0.1853398974845823,0.2284359135409691,0.071734708157354,0.1554804549213176
3.506317907311435,0.20654296549251694,1.0908799303993464e-12,2.64110340033561e-18,9.999971149044603,7.837962766711758e-25,1.0,4.449758446027167e-17,1.0,1.0,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,34,1,0.567081482069919,0.411904133198442,0.3973020061551868,3.464788469571028,0.0894112412784403,0.1669171980447081,0.2295645767204954,0.1498501262850993,0.1048301897893208
3.84456375477618,5.25313660866577e-07,4.934425975834286e-11,1.4959302891585688,1.321533050202608,9.30350140572626e-10,0.0014199291215710261,0.005448726793668197,0.00032612713051833947,0.924893031675899,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,36,2,0.3694385643536657,0.6314368710235667,0.783944855271981,2.204028721863936,0.0967574436951342,0.2490298713321789,0.1799756115278907,0.159525020978626,0.1793939602588976
3.703914916502417,9.131989979842134e-07,1.4999999912045483,0.8787189303389106,3.149778323779965,2.4010644611291054e-11,0.039967733052225105,0.06727957893436916,0.9999572616721067,0.9999999995992492,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,33,3,0.3831534270489235,0.9243360104049024,0.8877083202029972,1.748000724610287,0.0857006951553492,0.1837955556592561,0.0928473614740877,0.0830779621812562,0.2838785601451677
0.07289458443794249,1.4999959144942532,1.4999953514987792,2.556136760314233e-06,9.999983670860741,0.06291631368123236,0.6488522756587664,0.4980283255174861,0.7468867899971179,0.3595417171714649,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,18,4,0.9485874299558588,0.2074523655073971,0.6969274043944742,3.470477759736311,0.0649971873386882,0.1575268808203254,0.151176938809753,0.0831141425916168,0.1372522087411287
0.0005003326734924201,1.4982206670181029,0.0011620880266328985,1.49914011230566,9.994781150410073,0.05141611644844774,0.5439330725891873,0.22068151606133132,0.279768329495335,0.36243262351812894,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,18,5,0.945404831548862,0.2828692015345692,0.9025015719788738,2.4256307252049467,0.1834569060508564,0.1984833367961997,0.0810895819549981,0.1204390678644735,0.1026574137017357
4.10378553908561,6.735168387942964e-22,0.6583585958742001,1.724853063022661e-21,10.0,0.12077888591420032,0.9865733491802192,0.8631947443687593,0.3568503570468397,0.9999999999637119,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,45,6,0.7074275578473554,0.8634784714977755,0.23526940943924,2.6674478851178085,0.0696229491052553,0.2459595907657671,0.0823163952547772,0.1604588779652126,0.2264168616899977
1.184759245500782e-05,1.336456050071603,1.3330261900529174,1.364530721886797,9.436133010589646,0.08578176260485963,0.7157143160806607,0.16446857333118067,0.4314740480080978,0.5310747524053814,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,11,7,0.8749289306176646,0.4649198945715256,0.2220804280957087,4.569634440514461,0.0891822794585315,0.1661179467477415,0.2467101145766174,0.0595642993383156,0.1991428137469361
6.8679080771305,1.555837521832206e-23,0.2146408588200526,1.4999999999998823,9.999999950800703,4.111612139123187e-18,3.7648182022067494e-06,4.207471135510771e-15,0.06366456513538538,0.05785700200120197,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,49,8,0.443099959414683,0.3681461479061135,0.828607061982064,3.623315496679169,0.0983373844604807,0.1383572033675906,0.18512544663802,0.1777934992186468,0.2484338497765005
4.234986028011578,0.05561321268447516,1.4999851699381266,3.901241075556189e-06,6.037995813207507,7.122208136467051e-07,0.9999940066326932,0.9999971177987954,3.889142348474589e-06,0.5424738975371346,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,28,9,0.7382365364457337,0.3797125327978306,0.3593039461812613,1.585488857043892,0.0867263816117525,0.145027268843761,0.2199475389249464,0.0682070572961422,0.1536102527494298
0.016984636225115503,0.22207204975002096,1.4999999893299505,1.4999999998990534,9.99999999967297,1.4353015188282872e-08,0.9999124937435949,0.9999527303047564,0.999974476774984,0.9981653036174853,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,23,10,0.82273632541386,0.3750729094498555,0.8432878849385144,3.9356912174288343,0.1196824826861378,0.161481158806679,0.233494002891088,0.0803396497973461,0.0833347763892572
0.28490662719694465,0.16650305826471284,9.339022183524402e-19,1.5,10.0,0.08712749744960904,0.9999995962050897,0.9999999673898348,0.9951476555098071,0.4871051937530915,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,40,11,0.6826020711529931,0.3764309554590551,0.3755373076971489,3.025425916163228,0.0543537229920072,0.1172259087396764,0.1858283770056699,0.1510791672844093,0.0912611828008772
